Typical Measured Spectrum of Semrock FF01-586/20 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6,5) are measurement noise limited,
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5,5) are measurement noise limited, 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
455,6	1,8511e-08
455,8	2,1931e-08
456,0	2,5983e-08
456,2	3,0783e-08
456,4	3,6471e-08
456,6	4,3209e-08
456,8	5,1192e-08
457,0	6,065e-08
457,2	6,0157e-08
457,4	5,9285e-08
457,6	5,8426e-08
457,8	5,7579e-08
458,0	5,6744e-08
458,2	5,5921e-08
458,4	5,5111e-08
458,6	5,4312e-08
458,8	5,3524e-08
459,0	5,2749e-08
459,2	4,6671e-08
459,4	4,0576e-08
459,6	3,5276e-08
459,8	3,0669e-08
460,0	2,6663e-08
460,2	2,3181e-08
460,4	2,0153e-08
460,6	1,7521e-08
460,8	1,5233e-08
461,0	1,3243e-08
461,2	1,4529e-08
461,4	1,7153e-08
461,6	2,0252e-08
461,8	2,3911e-08
462,0	2,8231e-08
462,2	3,3332e-08
462,4	3,9353e-08
462,6	4,6463e-08
462,8	5,4857e-08
463,0	6,4768e-08
463,2	6,3424e-08
463,4	5,6402e-08
463,6	5,0158e-08
463,8	4,4605e-08
464,0	3,9666e-08
464,2	3,5275e-08
464,4	3,1369e-08
464,6	2,7896e-08
464,8	2,4808e-08
465,0	2,2061e-08
465,2	2,1675e-08
465,4	2,1296e-08
465,6	2,0923e-08
465,8	2,0557e-08
466,0	2,0197e-08
466,2	1,9843e-08
466,4	1,9496e-08
466,6	1,9155e-08
466,8	1,882e-08
467,0	1,849e-08
467,2	1,8423e-08
467,4	1,8362e-08
467,6	1,8301e-08
467,8	1,8241e-08
468,0	1,8181e-08
468,2	1,8121e-08
468,4	1,8061e-08
468,6	1,8001e-08
468,8	1,7942e-08
469,0	1,7883e-08
469,2	1,8275e-08
469,4	1,8743e-08
469,6	1,9223e-08
469,8	1,9715e-08
470,0	2,022e-08
470,2	2,0737e-08
470,4	2,1268e-08
470,6	2,1812e-08
470,8	2,2371e-08
471,0	2,2943e-08
471,2	2,0674e-08
471,4	1,7961e-08
471,6	1,5604e-08
471,8	1,3557e-08
472,0	1,1778e-08
472,2	1,0232e-08
472,4	8,8895e-09
472,6	7,7231e-09
472,8	6,7096e-09
473,0	5,8292e-09
473,2	6,2828e-09
473,4	7,4775e-09
473,6	8,8995e-09
473,8	1,0592e-08
474,0	1,2606e-08
474,2	1,5003e-08
474,4	1,7856e-08
474,6	2,1251e-08
474,8	2,5293e-08
475,0	3,0102e-08
475,2	3,2834e-08
475,4	3,5813e-08
475,6	3,9062e-08
475,8	4,2607e-08
